Shloka,EngMeaning
"आपूर्यमाणमचलप्रतिष्ठं
समुद्रमापः प्रविशन्ति यद्वत् |
तद्वत्कामा यं प्रविशन्ति सर्वे
स शान्तिमाप्नोति न कामकामी ||२-७०||","2.70 He attains peace into whom all desires enter as waters enter the ocean which, filled from all sides, remains unmoved; but not the man who is full of desires."
"विहाय कामान्यः सर्वान्पुमांश्चरति निःस्पृहः |
निर्ममो निरहङ्कारः स शान्तिमधिगच्छति ||२-७१||","2.71 That man attains peace who, abandoning all desires, moves about without longing, without the sense of mine and without egoism."
"एषा ब्राह्मी स्थितिः पार्थ नैनां प्राप्य विमुह्यति |
स्थित्वास्यामन्तकालेऽपि ब्रह्मनिर्वाणमृच्छति ||२-७२||","2.72 This is the Brahmic seat (eternal state), O son of Pritha. Attaining to this, none is deluded. Being established therein, even at the end of life, one attains to oneness with Brahman."
"अर्जुन उवाच |
ज्यायसी चेत्कर्मणस्ते मता बुद्धिर्जनार्दन |
तत्किं कर्मणि घोरे मां नियोजयसि केशव ||३-१||","3.1 Arjuna said  If Thou thinkest that knowledge is superior to action, O Krishna, why then, O Kesava, dost Thou ask me to engage in this terrible action?"
"व्यामिश्रेणेव वाक्येन बुद्धिं मोहयसीव मे |
तदेकं वद निश्चित्य येन श्रेयोऽहमाप्नुयाम् ||३-२||","3.2 With this apparently perplexing speech, Thou confusest, as it were, my understanding; therefore tell me that one way for certain by which I may attain bliss."
"श्रीभगवानुवाच |
लोकेऽस्मिन् द्विविधा निष्ठा पुरा प्रोक्ता मयानघ |
ज्ञानयोगेन साङ्ख्यानां कर्मयोगेन योगिनाम् ||३-३||","3.3 The Blessed Lord said  In this world there is a twofold path, as I said before, O sinless one; the path of knowledge of the Sankhyas and the path of action of the Yogins."
"न कर्मणामनारम्भान्नैष्कर्म्यं पुरुषोऽश्नुते |
न च संन्यसनादेव सिद्धिं समधिगच्छति ||३-४||",3.4 Not by non-performance of actions does man reach actionlessness; nor by mere renunciation does he attain to perfection.
"न हि कश्चित्क्षणमपि जातु तिष्ठत्यकर्मकृत् |
कार्यते ह्यवशः कर्म सर्वः प्रकृतिजैर्गुणैः ||३-५||",3.5 Verily none can ever remain for even a moment without performing action; for everyone is made to act helplessly indeed by the alities born of Nature.
"कर्मेन्द्रियाणि संयम्य य आस्ते मनसा स्मरन् |
इन्द्रियार्थान्विमूढात्मा मिथ्याचारः स उच्यते ||३-६||","3.6 He who, restraining the organs of action, sits thinking of the sense-objects in mind, he of deluded understanding is called a hypocrite."
"यस्त्विन्द्रियाणि मनसा नियम्यारभतेऽर्जुन |
कर्मेन्द्रियैः कर्मयोगमसक्तः स विशिष्यते ||३-७||","3.7 But whosoever, controlling the senses by the mind, O Arjuna, engages himself in Karma Yoga with the organs of action, without attachment, he excels."
"नियतं कुरु कर्म त्वं कर्म ज्यायो ह्यकर्मणः |
शरीरयात्रापि च ते न प्रसिद्ध्येदकर्मणः ||३-८||","3.8 Do thou perform (thy) bounden duty, for action is superior to inaction and even the maintenance of the body would not be possible for thee by inaction."
"यज्ञार्थात्कर्मणोऽन्यत्र लोकोऽयं कर्मबन्धनः |
तदर्थं कर्म कौन्तेय मुक्तसङ्गः समाचर ||३-९||","3.9 The world is bound by actions other than those performed for the sake of sacrifice; do thou, therefore, O son of Kunti (Arjuna), perform action for that sake (for sacrifice alone), free from attachment."
"सहयज्ञाः प्रजाः सृष्ट्वा पुरोवाच प्रजापतिः |
अनेन प्रसविष्यध्वमेष वोऽस्त्विष्टकामधुक् ||३-१०||","3.10 The Creator, having in the beginning (of creation) created mankind together with sacrifice, said, ""By this shall ye propagate; let this be the milch cow of your desires (the cow which yields all the desired objects)."""
"देवान्भावयतानेन ते देवा भावयन्तु वः |
परस्परं भावयन्तः श्रेयः परमवाप्स्यथ ||३-११||","3.11 With this do ye nourish the gods and may those gods nourish you; thus nourishing one another, ye shall attain to the highest good."
"इष्टान्भोगान्हि वो देवा दास्यन्ते यज्ञभाविताः |
तैर्दत्तानप्रदायैभ्यो यो भुङ्क्ते स्तेन एव सः ||३-१२||","3.12 The gods, nourished by the sacrifice, will give you the desired objects. So, he who enjoys the objects given by the gods without offering (in return) to them, is verily a thief."
"यज्ञशिष्टाशिनः सन्तो मुच्यन्ते सर्वकिल्बिषैः |
भुञ्जते ते त्वघं पापा ये पचन्त्यात्मकारणात् ||३-१३||",3.13 The righteous who eat the remnants of the sacrifice are freed from all sins; but those sinful ones who cook food (only) for their own sake verily eat sin.
"अन्नाद्भवन्ति भूतानि पर्जन्यादन्नसम्भवः |
यज्ञाद्भवति पर्जन्यो यज्ञः कर्मसमुद्भवः ||३-१४||",3.14 From food come forth beings; from rain food is produced; from sacrifice arises rain and sacrifice is born of action.
"कर्म ब्रह्मोद्भवं विद्धि ब्रह्माक्षरसमुद्भवम् |
तस्मात्सर्वगतं ब्रह्म नित्यं यज्ञे प्रतिष्ठितम् ||३-१५||","3.15 Know thou that action comes from Brahma and Brahma comes from the Imperishable. Therefore, the all-pervading (Brahma) ever rests in sacrifice."
"एवं प्रवर्तितं चक्रं नानुवर्तयतीह यः |
अघायुरिन्द्रियारामो मोघं पार्थ स जीवति ||३-१६||","3.16 He who does not follow here the wheel thus set revolving, who is of sinful life, rejoicing in the senses, he lives in vain, O Arjuna."
"यस्त्वात्मरतिरेव स्यादात्मतृप्तश्च मानवः |
आत्मन्येव च सन्तुष्टस्तस्य कार्यं न विद्यते ||३-१७||","3.17 But for that man who rejoices only in the Self, who is satisfied with the Self and who is content in the Self alone, verily there is nothing to do."
"नैव तस्य कृतेनार्थो नाकृतेनेह कश्चन |
न चास्य सर्वभूतेषु कश्चिदर्थव्यपाश्रयः ||३-१८||",3.18 For him there is no interest whatever in what is done or what is not done; nor does he depend on any being for any object.
"तस्मादसक्तः सततं कार्यं कर्म समाचर |
असक्तो ह्याचरन्कर्म परमाप्नोति पूरुषः ||३-१९||","3.19 Therefore without attachment, do thou always perform action which should be done; for by performing action without attachment man reaches the Supreme."
"कर्मणैव हि संसिद्धिमास्थिता जनकादयः |
लोकसंग्रहमेवापि सम्पश्यन्कर्तुमर्हसि ||३-२०||",3.20 Janaka and others attained perfection verily by action only; even with a view to the protection of the masses thou shouldst perform action.
"यद्यदाचरति श्रेष्ठस्तत्तदेवेतरो जनः |
स यत्प्रमाणं कुरुते लोकस्तदनुवर्तते ||३-२१||","3.21 Whatsoever a great man does, that the other men also do; whatever he sets up as the standard, that the world (mankind) follows."
"न मे पार्थास्ति कर्तव्यं त्रिषु लोकेषु किञ्चन |
नानवाप्तमवाप्तव्यं वर्त एव च कर्मणि ||३-२२||","3.22 There is nothing in the three worlds, O Arjuna, that should be done by Me, nor is there anything unattained that should be attained; yet I engage Myself in action."
"यदि ह्यहं न वर्तेयं जातु कर्मण्यतन्द्रितः |
मम वर्त्मानुवर्तन्ते मनुष्याः पार्थ सर्वशः ||३-२३||","3.23 For, should I not ever engage Myself in action, unwearied, men would in every way follow My path, O Arjuna."
"उत्सीदेयुरिमे लोका न कुर्यां कर्म चेदहम् |
सङ्करस्य च कर्ता स्यामुपहन्यामिमाः प्रजाः ||३-२४||",3.24 These worlds would perish if I did not perform action; I should be the author of confusion of castes and destruction of these beings.
"सक्ताः कर्मण्यविद्वांसो यथा कुर्वन्ति भारत |
कुर्याद्विद्वांस्तथासक्तश्चिकीर्षुर्लोकसंग्रहम् ||३-२५||","3.25 As the ignorant men act from attachment to action, O Bharata (Arjuna), so should the wise act without attachment, wishing the welfare of the world."
"न बुद्धिभेदं जनयेदज्ञानां कर्मसङ्गिनाम् |
जोषयेत्सर्वकर्माणि विद्वान्युक्तः समाचरन् ||३-२६||","3.26 Let no wise man unsettle the mind of ignorant people who are attached to action; he should engage them in all actions, himself fulfilling them with devotion."
"प्रकृतेः क्रियमाणानि गुणैः कर्माणि सर्वशः |
अहङ्कारविमूढात्मा कर्ताहमिति मन्यते ||३-२७||","3.27 All actions are wrought in all cases by the alities of Nature only. He whose mind is deluded by egoism thinks, ""I am the doer."""
"तत्त्ववित्तु महाबाहो गुणकर्मविभागयोः |
गुणा गुणेषु वर्तन्त इति मत्वा न सज्जते ||३-२८||","3.28 But he who knows the Truth, O mighty-armed (Arjuna), about the divisions of the alities and (their) functions, knowing that the Gunas as senses move amidst the Gunas as the sense-objects, is not attached."
"प्रकृतेर्गुणसम्मूढाः सज्जन्ते गुणकर्मसु |
तानकृत्स्नविदो मन्दान्कृत्स्नविन्न विचालयेत् ||३-२९||",3.29 Those deluded by the alities of Nature are attached to the functions of the alities. The man of perfect knowledge should not unsettle the foolish one who is of imperfect knowledge.
"मयि सर्वाणि कर्माणि संन्यस्याध्यात्मचेतसा |
निराशीर्निर्ममो भूत्वा युध्यस्व विगतज्वरः ||३-३०||","3.30 Renouncing all actions in Me, with the mind centred in the Self, free from hope and egoism, and from (mental) fever, do thou fight."
"ये मे मतमिदं नित्यमनुतिष्ठन्ति मानवाः |
श्रद्धावन्तोऽनसूयन्तो मुच्यन्ते तेऽपि कर्मभिः ||३-३१||","3.31 Those men who constantly practise this teaching of Mine with faith and without cavilling, they too are freed from actions."
"ये त्वेतदभ्यसूयन्तो नानुतिष्ठन्ति मे मतम् |
सर्वज्ञानविमूढांस्तान्विद्धि नष्टानचेतसः ||३-३२||","3.32 But those who carp at My teaching and do not practise it, deluded of all knowledge, and devoid of discrimination, know them to be doomed to destruction."
"सदृशं चेष्टते स्वस्याः प्रकृतेर्ज्ञानवानपि |
प्रकृतिं यान्ति भूतानि निग्रहः किं करिष्यति ||३-३३||","3.33 Even a wise man acts in accordance with his own nature; beings will follow Nature; what can 
restraint do?"
"इन्द्रियस्येन्द्रियस्यार्थे रागद्वेषौ व्यवस्थितौ |
तयोर्न वशमागच्छेत्तौ ह्यस्य परिपन्थिनौ ||३-३४||","3.34 Attachment and aversion for the objects of the senses abide in the senses; let none come under their sway; for, they are his foes."
"श्रेयान्स्वधर्मो विगुणः परधर्मात्स्वनुष्ठितात् |
स्वधर्मे निधनं श्रेयः परधर्मो भयावहः ||३-३५||","3.35 Better is one's own duty, though devoid of merit than the duty of another well discharged. Better is death in one's own duty; the duty of another is fraught with fear (is productive of danger)."
"अर्जुन उवाच |
अथ केन प्रयुक्तोऽयं पापं चरति पूरुषः |
अनिच्छन्नपि वार्ष्णेय बलादिव नियोजितः ||३-३६||","3.36 Arjuna said  But impelled by what does man commit sin, though against his wishes, O Varshneya (Krishna), constrained as it were, by force?"
"श्रीभगवानुवाच |
काम एष क्रोध एष रजोगुणसमुद्भवः |
महाशनो महापाप्मा विद्ध्येनमिह वैरिणम् ||३-३७||","3.37 The Blessed Lord said  It is desire, it is anger both of the ality of Rajas, all-devouring, all-sinful; know this as the foe here (in this world)."
"धूमेनाव्रियते वह्निर्यथादर्शो मलेन च |
यथोल्बेनावृतो गर्भस्तथा तेनेदमावृतम् ||३-३८||","3.38 As fire is enveloped by smoke, as a mirror by dust, and as an embryo by the amnion, so is this enveloped by that."
"आवृतं ज्ञानमेतेन ज्ञानिनो नित्यवैरिणा |
कामरूपेण कौन्तेय दुष्पूरेणानलेन च ||३-३९||","3.39 O Arjuna, wisdom is enveloped by this constant enemy of the wise in the form of desire, which is unappeasable as fire."
"इन्द्रियाणि मनो बुद्धिरस्याधिष्ठानमुच्यते |
एतैर्विमोहयत्येष ज्ञानमावृत्य देहिनम् ||३-४०||","3.40 The senses, the mind and the intellect are said to be its seat; through these it deludes the embodied by veiling his wisdom."
"तस्मात्त्वमिन्द्रियाण्यादौ नियम्य भरतर्षभ |
पाप्मानं प्रजहि ह्येनं ज्ञानविज्ञाननाशनम् ||३-४१||","3.41 Therefore, O best of the Bharatas (Arjuna), controlling the senses first, do thou kill this sinful thing, the destroyer of knowledge and realisation."
"इन्द्रियाणि पराण्याहुरिन्द्रियेभ्यः परं मनः |
मनसस्तु परा बुद्धिर्यो बुद्धेः परतस्तु सः ||३-४२||",3.42 They say that the senses are superior (to the body); superior to the senses is the mind; superior to the mind is the intellect; one who is superior even to the intellect is He (the Self).
"एवं बुद्धेः परं बुद्ध्वा संस्तभ्यात्मानमात्मना |
जहि शत्रुं महाबाहो कामरूपं दुरासदम् ||३-४३||","3.43 Thus knowing Him Who is superior to the intellect and restraining the self by the Self, slay thou, O mighty-armed Arjuna, the enemy in the form of desire, hard to coner."
"श्रीभगवानुवाच |
इमं विवस्वते योगं प्रोक्तवानहमव्ययम् |
विवस्वान्मनवे प्राह मनुरिक्ष्वाकवेऽब्रवीत् ||४-१||",4.1 The Blessed Lord said  I taught this imperishable Yoga to Vivasvan; he told it to Manu; Manu proclaimed it to Ikshvaku.
"एवं परम्पराप्राप्तमिमं राजर्षयो विदुः |
स कालेनेह महता योगो नष्टः परन्तप ||४-२||","4.2 This, handed down thus in regular succession, the royal sages knew. This Yoga, by long lapse of time, has been lost here, O Parantapa (burner of the foes)."
"स एवायं मया तेऽद्य योगः प्रोक्तः पुरातनः |
भक्तोऽसि मे सखा चेति रहस्यं ह्येतदुत्तमम् ||४-३||","4.3 That same ancient Yoga has been today taught to thee by Me, for thou art My devotee and My friend; it is the supreme secret."
"अर्जुन उवाच |
अपरं भवतो जन्म परं जन्म विवस्वतः |
कथमेतद्विजानीयां त्वमादौ प्रोक्तवानिति ||४-४||","4.4 Arjuna said  Later on was Thy birth, and prior to it was the birth of Vivasvan (the Sun); how am I to understand that Thou taughtest this Yoga in the beginning?"
"श्रीभगवानुवाच |
बहूनि मे व्यतीतानि जन्मानि तव चार्जुन |
तान्यहं वेद सर्वाणि न त्वं वेत्थ परन्तप ||४-५||","4.5 The Blessed Lord said  Many births of Mine have passed as well as of thine, O Arjuna; I know them all but thou knowest not, O Parantapa (scorcher of foes)."
"अजोऽपि सन्नव्ययात्मा भूतानामीश्वरोऽपि सन् |
प्रकृतिं स्वामधिष्ठाय सम्भवाम्यात्ममायया ||४-६||","4.6 Though I am unborn, of imperishable nature, and though I am the Lord of all beings, yet, governing My own Nature, I am born by My own Maya."
"यदा यदा हि धर्मस्य ग्लानिर्भवति भारत |
अभ्युत्थानमधर्मस्य तदात्मानं सृजाम्यहम् ||४-७||","4.7 Whenever there is decline of righteousness, O Arjuna, and rise of unrighteousness, then I manifest Myself."
"परित्राणाय साधूनां विनाशाय च दुष्कृताम् |
धर्मसंस्थापनार्थाय सम्भवामि युगे युगे ||४-८||","4.8 For the protection of the good, for the destruction of the wicked and for the establishment of righteousness, I am born in every age."
"जन्म कर्म च मे दिव्यमेवं यो वेत्ति तत्त्वतः |
त्यक्त्वा देहं पुनर्जन्म नैति मामेति सोऽर्जुन ||४-९||","4.9 He who thus know, in their true light, My divine birth and action, having abandoned the body, is not born again, he comes to Me, O Arjuna."
"वीतरागभयक्रोधा मन्मया मामुपाश्रिताः |
बहवो ज्ञानतपसा पूता मद्भावमागताः ||४-१०||","4.10 Freed from attachment, fear and anger, absorbed in Me, taking refuge in Me, purified by the fire of knowledge, many have attained to My Being."
"ये यथा मां प्रपद्यन्ते तांस्तथैव भजाम्यहम् |
मम वर्त्मानुवर्तन्ते मनुष्याः पार्थ सर्वशः ||४-११||","4.11 In whatever way men approach Me even so do I reward them; My path do men tread in all ways, O Arjuna."
"काङ्क्षन्तः कर्मणां सिद्धिं यजन्त इह देवताः |
क्षिप्रं हि मानुषे लोके सिद्धिर्भवति कर्मजा ||४-१२||",4.12 Those who long for success in action in this world sacrifice to the gods; because success is ickly attained by men through action.
"चातुर्वर्ण्यं मया सृष्टं गुणकर्मविभागशः |
तस्य कर्तारमपि मां विद्ध्यकर्तारमव्ययम् ||४-१३||",4.13 The fourfold caste has been created by Me according to the differentiation of Guna and Karma; though I am the author thereof know Me as non-doer and immutable.
"न मां कर्माणि लिम्पन्ति न मे कर्मफले स्पृहा |
इति मां योऽभिजानाति कर्मभिर्न स बध्यते ||४-१४||","4.14 Actions do not taint Me, nor have I a desire for the fruit of actions. He who knows Me thus is not bound by actions."
"एवं ज्ञात्वा कृतं कर्म पूर्वैरपि मुमुक्षुभिः |
कुरु कर्मैव तस्मात्त्वं पूर्वैः पूर्वतरं कृतम् ||४-१५||","4.15 Having known this, the ancient seekers after freedom also performed action; therefore do thou also perform action, as did the ancients in days of yore."
"किं कर्म किमकर्मेति कवयोऽप्यत्र मोहिताः |
तत्ते कर्म प्रवक्ष्यामि यज्ज्ञात्वा मोक्ष्यसेऽशुभात् ||४-१६||","4.16 What is action? What is inaction? As to this even the wise are confused. Therefore I shall teach thee such action (the nature of action and inaction) by knowing which thou shalt be liberated from the evil (of Samsara, the wheel of birth and death)."
"कर्मणो ह्यपि बोद्धव्यं बोद्धव्यं च विकर्मणः |
अकर्मणश्च बोद्धव्यं गहना कर्मणो गतिः ||४-१७||","4.17 For verily (the true nature) of action (enjoined by the scriptures) should be known, also (that) 
of forbidden (or unlawful) action, and of inaction; hard to understand is the nature (path) of action."
"कर्मण्यकर्म यः पश्येदकर्मणि च कर्म यः |
स बुद्धिमान्मनुष्येषु स युक्तः कृत्स्नकर्मकृत् ||४-१८||","4.18 He who seeth inaction in action and action in inaction, he is wise among men; he is a Yogi and performer of all actions."
"यस्य सर्वे समारम्भाः कामसङ्कल्पवर्जिताः |
ज्ञानाग्निदग्धकर्माणं तमाहुः पण्डितं बुधाः ||४-१९||","4.19 He whose undertakings are all devoid of desires and (selfish) purposes and whose actions have been burnt by the fire of knowledge,  him the wise call a sage."
"त्यक्त्वा कर्मफलासङ्गं नित्यतृप्तो निराश्रयः |
कर्मण्यभिप्रवृत्तोऽपि नैव किञ्चित्करोति सः ||४-२०||","4.20 Having abandoned attachment to the fruits of the action, ever content, depending on nothing, he does not do anything though engaged in activity."
"निराशीर्यतचित्तात्मा त्यक्तसर्वपरिग्रहः |
शारीरं केवलं कर्म कुर्वन्नाप्नोति किल्बिषम् ||४-२१||","4.21 Without hope and with the mind and the self controlled, having abandoned all covetousness, doing mere bodily action, he incurs no sin."
"यदृच्छालाभसन्तुष्टो द्वन्द्वातीतो विमत्सरः |
समः सिद्धावसिद्धौ च कृत्वापि न निबध्यते ||४-२२||","4.22 Content with what comes to him without effort, free from the pairs of opposites and envy, even-minded in success and failure, though acting, he is not bound."
"गतसङ्गस्य मुक्तस्य ज्ञानावस्थितचेतसः |
यज्ञायाचरतः कर्म समग्रं प्रविलीयते ||४-२३||","4.23 To one who is devoid of attchment, who is liberated, whose mind is established in knowledge, who works for the sake of sacrifice (for the sake of God), the whole action is dissolved."
"ब्रह्मार्पणं ब्रह्म हविर्ब्रह्माग्नौ ब्रह्मणा हुतम् |
ब्रह्मैव तेन गन्तव्यं ब्रह्मकर्मसमाधिना ||४-२४||",4.24 Brahman is the oblation; Brahman is the melted butter (ghee); by Brahman is the oblation poured into the fire of Brahman; Brahman verily shall be reached by him who always sees Brahman in action.
"दैवमेवापरे यज्ञं योगिनः पर्युपासते |
ब्रह्माग्नावपरे यज्ञं यज्ञेनैवोपजुह्वति ||४-२५||",4.25 Some Yogies perform sacrifice to the gods alone; while others (who have realised the Self) offer the self as sacrifice by the Self in the fire of Brahman alone.
"श्रोत्रादीनीन्द्रियाण्यन्ये संयमाग्निषु जुह्वति |
शब्दादीन्विषयानन्य इन्द्रियाग्निषु जुह्वति ||४-२६||",4.26 Some again offer the organ of hearing and other senses as sacrifice in the fire of restraint; others offer sound and other objects of the senses as sacrifice in the fire of the senses.
"सर्वाणीन्द्रियकर्माणि प्राणकर्माणि चापरे |
आत्मसंयमयोगाग्नौ जुह्वति ज्ञानदीपिते ||४-२७||",4.27 Others again sacrifice all the functions of the senses and those of the breath (vital energy or Prana) in the fire of the Yoga of self-restraint kindled by knowledge.
"द्रव्ययज्ञास्तपोयज्ञा योगयज्ञास्तथापरे |
स्वाध्यायज्ञानयज्ञाश्च यतयः संशितव्रताः ||४-२८||","4.28 Others again offer wealth, austerity and Yoga as sacrifice, while the ascetics of self-restraint and rigid vows offer study of scriptures and knowledge as sacrifice."
"अपाने जुह्वति प्राणं प्राणेऽपानं तथापरे |
प्राणापानगती रुद्ध्वा प्राणायामपरायणाः ||४-२९||","4.29 Others offer as sacrifice the outgoing breath in the incoming, and the incoming in the outgoing, restraining the course of the outgoing and the incoming breaths, solely absorbed in the restraint of the breath."
"अपरे नियताहाराः प्राणान्प्राणेषु जुह्वति |
सर्वेऽप्येते यज्ञविदो यज्ञक्षपितकल्मषाः ||४-३०||","4.30 Others who regulate their diet offer life-breaths in life-breaths. All these are knowers of sacrifice, whose sins are destroyed by sacrifice."
"यज्ञशिष्टामृतभुजो यान्ति ब्रह्म सनातनम् |
नायं लोकोऽस्त्ययज्ञस्य कुतोऽन्यः कुरुसत्तम ||४-३१||","4.31 Those who eat the remnants of the sacrifice, which are like nectar, go to the eternal Brahman. This world is not for the man who does not perform sacrifice; how then can he have the other, O Arjuna?"
"एवं बहुविधा यज्ञा वितता ब्रह्मणो मुखे |
कर्मजान्विद्धि तान्सर्वानेवं ज्ञात्वा विमोक्ष्यसे ||४-३२||","4.32 Thus, manifold sacrifices are spread out before Brahman (literally) at the mouth or face of Brahman). Know them all as born of action and thus knowing, thou shalt be liberated."
"श्रेयान्द्रव्यमयाद्यज्ञाज्ज्ञानयज्ञः परन्तप |
सर्वं कर्माखिलं पार्थ ज्ञाने परिसमाप्यते ||४-३३||",Swami Sivananda did not comment on this sloka
"तद्विद्धि प्रणिपातेन परिप्रश्नेन सेवया |
उपदेक्ष्यन्ति ते ज्ञानं ज्ञानिनस्तत्त्वदर्शिनः ||४-३४||","4.34 Know That by long prostration, by estion and by service; the wise who have realised the Truth will instruct thee in (that) knowledge."
"यज्ज्ञात्वा न पुनर्मोहमेवं यास्यसि पाण्डव |
येन भूतान्यशेषेण द्रक्ष्यस्यात्मन्यथो मयि (var अशेषाणि) ||४-३५||","4.35 Knowing ï1thatï1 thou shalt not, O Arjuna, again get deluded like this; and by that thou shalt see all beings in thy Self and also in Me."
"अपि चेदसि पापेभ्यः सर्वेभ्यः पापकृत्तमः |
सर्वं ज्ञानप्लवेनैव वृजिनं सन्तरिष्यसि ||४-३६||","4.36 Even if thou art the most sinful of all sinners, yet thou shalt verily cross all sins by the raft of knowledge."
"यथैधांसि समिद्धोऽग्निर्भस्मसात्कुरुतेऽर्जुन |
ज्ञानाग्निः सर्वकर्माणि भस्मसात्कुरुते तथा ||४-३७||","4.37 As the blazing fire reduces fuel to ashes, O Arjuna, so does the fire of knowledge reduce all actions to ashes."
"न हि ज्ञानेन सदृशं पवित्रमिह विद्यते |
तत्स्वयं योगसंसिद्धः कालेनात्मनि विन्दति ||४-३८||","4.38 Verily, there is no purifier in this world like knowledge. He who is perfected in Yoga finds it in the Self in time."
"श्रद्धावाँल्लभते ज्ञानं तत्परः संयतेन्द्रियः |
ज्ञानं लब्ध्वा परां शान्तिमचिरेणाधिगच्छति ||४-३९||","4.39 The man who is full of faith, who is devoted to it, and who has subdued the senses obtains (this) knowledge; and having obtained the knowledge he attains at once to the supreme peace."
"अज्ञश्चाश्रद्दधानश्च संशयात्मा विनश्यति |
नायं लोकोऽस्ति न परो न सुखं संशयात्मनः ||४-४०||","4.40 The ignorant the faithless, the doubting self goes to destruction; there is neither this world nor the other, nor happiness for the doubting."
"योगसंन्यस्तकर्माणं ज्ञानसञ्छिन्नसंशयम् |
आत्मवन्तं न कर्माणि निबध्नन्ति धनञ्जय ||४-४१||","4.41 He who has renounced actions by Yoga, whose doubts are rent asunder by knowledge, and who is self-possessed  actions do not bind him, O Arjuna."
"तस्मादज्ञानसम्भूतं हृत्स्थं ज्ञानासिनात्मनः |
छित्त्वैनं संशयं योगमातिष्ठोत्तिष्ठ भारत ||४-४२||","4.42 Therefore with the sword of the knowledge (of the Self) cut asunder the doubt of the self born of ignorance, residing in thy heart, and take refuge in Yoga. Arise, O Arjuna."
"अर्जुन उवाच |
संन्यासं कर्मणां कृष्ण पुनर्योगं च शंससि |
यच्छ्रेय एतयोरेकं तन्मे ब्रूहि सुनिश्चितम् ||५-१||","5.1 Arjuna said  Renunciation of actions, O Krishna, Thou praisest, and again Yoga. Tell me conclusively that which is the better of the two."
"श्रीभगवानुवाच |
संन्यासः कर्मयोगश्च निःश्रेयसकरावुभौ |
तयोस्तु कर्मसंन्यासात्कर्मयोगो विशिष्यते ||५-२||","5.2 The Blessed Lord said  Renunciation and the Yoga of action both lead to the highest bliss; but of the two, the Yoga of action is superior to the renunciation of action."
"ज्ञेयः स नित्यसंन्यासी यो न द्वेष्टि न काङ्क्षति |
निर्द्वन्द्वो हि महाबाहो सुखं बन्धात्प्रमुच्यते ||५-३||","5.3 He should be known as a perpertual Sannyasi who neither hates nor desires; for, free from the pairs of opposites, O mighty-armed Arjuna, he is easily set free from bondage."
"साङ्ख्ययोगौ पृथग्बालाः प्रवदन्ति न पण्डिताः |
एकमप्यास्थितः सम्यगुभयोर्विन्दते फलम् ||५-४||","5.4 Children, not the wise, speak of knowledge and the Yoga of action or the performance of action as though they are distinct and different; he who is truly established in one obtains the fruits of both."
"यत्साङ्ख्यैः प्राप्यते स्थानं तद्योगैरपि गम्यते |
एकं साङ्ख्यं च योगं च यः पश्यति स पश्यति ||५-५||","5.5 That place which is reached by the Sankhyas or the Jnanis is reached by the Yogis (Karma Yogis). He sees, who sees knowledge and the performance of action (Karma Yoga) as one."
"संन्यासस्तु महाबाहो दुःखमाप्तुमयोगतः |
योगयुक्तो मुनिर्ब्रह्म नचिरेणाधिगच्छति ||५-६||","5.6 But renunciation, O mighty-armed Arjuna, is hard to attain without Yoga; the Yoga-harmonised sage ickly goes to Brahman."
"योगयुक्तो विशुद्धात्मा विजितात्मा जितेन्द्रियः |
सर्वभूतात्मभूतात्मा कुर्वन्नपि न लिप्यते ||५-७||","5.7 He who is devoted to the path of action, whose mind is ite pure, who has conered the self, who has subdued his senses and who realises his Self as the Self in all beings, though acting, is not tainted."
"नैव किञ्चित्करोमीति युक्तो मन्येत तत्त्ववित् |
पश्यञ्शृण्वन्स्पृशञ्जिघ्रन्नश्नन्गच्छन्स्वपञ्श्वसन् ||५-८||","5.8 ""I do nothing at all,"" thus would the harmonised knower of Truth think  seeing, hearing, touching, smelling, eating, going, sleeping, breathing."
"प्रलपन्विसृजन्गृह्णन्नुन्मिषन्निमिषन्नपि |
इन्द्रियाणीन्द्रियार्थेषु वर्तन्त इति धारयन् ||५-९||","5.9 Speaking, letting go, seizing, opening and closing the eyes  convinced that the senses move among the sense-objects."
"ब्रह्मण्याधाय कर्माणि सङ्गं त्यक्त्वा करोति यः |
लिप्यते न स पापेन पद्मपत्रमिवाम्भसा ||५-१०||","5.10 He who does actions, offering them to Brahman, and abandoning attachment, is not tainted by sin, just as a lotus-leaf is not tainted by water."
"कायेन मनसा बुद्ध्या केवलैरिन्द्रियैरपि |
योगिनः कर्म कुर्वन्ति सङ्गं त्यक्त्वात्मशुद्धये ||५-११||","5.11 Yogis, having abandoned attachment, perform actions only by the body, mind, intellect, and even by the senses, for the purification of the self."
"युक्तः कर्मफलं त्यक्त्वा शान्तिमाप्नोति नैष्ठिकीम् |
अयुक्तः कामकारेण फले सक्तो निबध्यते ||५-१२||","5.12 The united one (the well poised or the harmonised) having abandoned the fruit of action attains to the eternal peace: the non-united only (the unsteady or the unbalanced) impelled by desire, attached to the fruit, is bound."
"सर्वकर्माणि मनसा संन्यस्यास्ते सुखं वशी |
नवद्वारे पुरे देही नैव कुर्वन्न कारयन् ||५-१३||","5.13 Mentally renouncing all actions and self-controlled, the embodied one rests happily in the nine-gated city, neither acting nor causing others (body and senses) to act."
"न कर्तृत्वं न कर्माणि लोकस्य सृजति प्रभुः |
न कर्मफलसंयोगं स्वभावस्तु प्रवर्तते ||५-१४||","5.14 Neither agency nor actions does the Lord create for the world, nor union with the fruits of actions. But it is Nature that acts."
